Player-ID,Player,Team,Position,Minutes Played,Passes,Completed passes,Accuracy,Completed passes / 90
170,Tomas Holes,Czechia,DF,169,66,55,83%,29.29
360,Ruben Dias,Portugal ,DF,418,249,233,94%,50.17
303,Johan Vasquez,Mexico ,DF,412,237,221,93%,48.28
29,Nahuel Molina ,Argentine ,DF,592,276,234,85%,35.57
302,Cesar Montes,Mexico ,DF,349,170,156,92%,40.23
20,Gonzalo Montiel,Argentine ,DF,241,100,81,81%,30.25
500,Auston Trusty,USA,DF,123,50,38,76%,27.8
510,Mark Mckenzie,USA,DF,104,51,47,92%,40.67
64,Maxim De Cuyper,Belgium,DF,492,246,203,83%,37.13
421,Jack Hendry,Scotland,DF,306,180,171,95%,50.29
280,Husam Abudahab,Jordan,DF,190,58,43,74%,20.37
183,Yasser Ibrahim,Egypt,DF,533,260,239,92%,40.36
71,Douglas Santos,Brazil,DF,505,275,256,93%,45.62
411,Saud Abdulhamid,Saudi Arabia ,DF,300,113,88,78%,26.4
32,Cameron Burgess,Australia ,DF,152,56,45,80%,26.64
326,Micky Van De Ven ,Netherlands,DF,291,117,105,90%,32.47
452,Gustaf Largerbielke,Sweden ,DF,400,206,173,84%,38.93
134,Christopher Operi,Cote d'Ivorie,DF,100,78,70,90%,63.0
503,Tim Ream,USA,DF,419,298,281,94%,60.36
199,Nico Oreilly ,England ,DF,523,216,200,93%,34.42
176,Joel Ordonez,Ecuador,DF,253,113,101,89%,35.93
375,Andres Andrade ,Panama ,DF,303,178,147,83%,43.66
494,Sebastian Caceres,Uruguay,DF,313,172,154,90%,44.28
153,Jurien Garri,Curacao,DF,180,54,41,76%,20.5
34,Lucas Herrington,Australia ,DF,232,106,101,95%,39.18
229,Jonas Adjetey ,Ghana ,DF,257,120,105,88%,36.77
388,Juan Jose Caceres,Paraguay,DF,488,129,80,62%,14.75
180,Willian Pacho ,Ecuador,DF,407,238,217,91%,47.99
164,Vladimir Coufal ,Czechia,DF,301,110,79,72%,23.62
219,Joshua Kimmich ,Germany,DF,392,368,336,91%,77.14
112,Gustavo Puerta,Colombia,DF,520,290,264,91%,45.69
291,Seol Youngwoo,South Korea,DF,274,123,113,92%,37.12
397,Ayoub Aloui,Qatar,DF,170,28,11,39%,5.82
72,Marquinhos,Brazil,DF,520,380,367,97%,63.52
304,Jeses Gallardo ,Mexico ,DF,431,167,140,84%,29.23
215,Nico Schlotterbeck,Germany,DF,152,123,110,89%,65.13
116,Johan Mojica,Colombia,DF,442,202,161,80%,32.78
190,Ramy Rabia,Egypt,DF,431,244,224,92%,46.77
273,Takehiro Tomiyasu,Japan,DF,208,127,109,86%,47.16
337,Liberato Cacace,New Zealand,DF,237,88,75,85%,28.48
62,Arthur Theate,Belgium,DF,268,164,153,93%,51.38
