rank,player,country,confederation,position,attempts_at_goal
194,Nadiem Amiri,Germany,UEFA,Midfielder,2
195,Deniz Gul,Türkiye,UEFA,Forward,2
196,Michel Aebischer,Switzerland,UEFA,Midfielder,2
197,Djibril Sow,Switzerland,UEFA,Midfielder,2
198,Amar Dedic,Bosnia and Herzegovina,UEFA,Defender,2
199,Lewis Ferguson,Scotland,UEFA,Midfielder,2
200,Remo Freuler,Switzerland,UEFA,Midfielder,2
201,Patrik Schick,Czechia,UEFA,Forward,2
202,Gessime Yassine,Morocco,CAF,Midfielder,2
203,Ayoube Amaimouni,Morocco,CAF,Forward,2
204,Pathe Ciss,Senegal,CAF,Midfielder,2
205,Jonas Adjetey,Ghana,CAF,Defender,2
206,Caleb Yirenkyi,Ghana,CAF,Midfielder,2
207,Edo Kayembe,DR Congo,CAF,Midfielder,2
208,Anis Hadj Moussa,Algeria,CAF,Forward,2
209,Anthony Ralston,Scotland,UEFA,Defender,1
210,Torbjorn Heggem,Norway,UEFA,Defender,1
211,Petar Musa,Croatia,UEFA,Forward,1
212,Marcus Holmgren Pedersen,Norway,UEFA,Defender,1
213,Rayan Cherki,France,UEFA,Midfielder,1
214,Waldemar Anton,Germany,UEFA,Defender,1
215,David Raum,Germany,UEFA,Defender,1
216,Jonathan Tah,Germany,UEFA,Defender,1
217,Besfort Zeneli,Sweden,UEFA,Midfielder,1
218,Ivan Sunjic,Bosnia and Herzegovina,UEFA,Midfielder,1
219,Manuel Akanji,Switzerland,UEFA,Defender,1
220,Che Adams,Scotland,UEFA,Forward,1
221,Alexander Bernhardsson,Sweden,UEFA,Defender,1
222,Kaan Ayhan,Türkiye,UEFA,Midfielder,1
223,Zeki Celik,Türkiye,UEFA,Defender,1
224,Anis Slimane,Tunisia,CAF,Midfielder,1
225,Omar Rekik,Tunisia,CAF,Defender,1
226,Issa Diop,Morocco,CAF,Defender,1
227,Ahmed Fatouh,Egypt,CAF,Defender,1
228,Bara Sapoko Ndiaye,Senegal,CAF,Midfielder,1
229,Yasser Ibrahim,Egypt,CAF,Defender,1
230,Ramy Rabia,Egypt,CAF,Defender,1
231,Derrick Luckassen,Ghana,CAF,Defender,1
232,Ange Yoan Bonny,Ivory Coast,CAF,Forward,1
